Item Name,Category,Time Period,Selling Price (MYR),COGS (MYR),Margin %,Key Ingredients,Equipment Needed,Notes
3-Egg Omelette (Plain),Light Meals,8am-11am,10.00,2.09,79.1%,3 eggs + butter/oil,Fryer,Top seller 2025
3-Egg Omelette (Cheese),Light Meals,8am-11am,11.00,2.50,77.3%,3 eggs + cheese slice + butter,Fryer,High margin
3-Egg Omelette (Ham & Cheese),Light Meals,8am-11am,13.00,3.15,75.8%,3 eggs + ham + cheese + butter,Fryer,Protein packed
3-Egg Omelette (Mushroom),Light Meals,8am-11am,12.00,2.75,77.1%,3 eggs + mushrooms + cheese + butter,Fryer,Veggie option
Scrambled Eggs on Toast,Light Meals,8am-11am,9.50,2.87,69.8%,2 eggs + 2 toast + butter,Fryer + Press,Classic
Cheesy Scrambled Eggs,Light Meals,8am-11am,10.50,3.28,68.8%,2 eggs + cheese + 2 toast + butter,Fryer + Press,Creamy
Thunder Brekkie,Light Meals,8am-11am / 11:30am-2:30pm,16.00,5.00,68.8%,Eggs + toast + beans + mushroom + tomato,Fryer,Premium breakfast
Big Brekky,Light Meals,8am-11am,15.00,4.50,70.0%,Eggs + toast + ham + cheese + tomato,Fryer + Press,Hearty
French Toast (2 slices),Light Meals,8am-11am,10.00,3.50,65.0%,Brioche + egg + milk + syrup,Fryer,Sweet breakfast
French Toast with Berries,Light Meals,8am-11am,13.00,5.50,57.7%,Brioche + egg + milk + berries + syrup,Fryer,Premium sweet
Pancakes (3 stack),Light Meals,8am-11am,11.00,3.80,65.5%,Flour + egg + milk + butter + syrup,Fryer,American classic
Pancakes with Banana,Light Meals,8am-11am,13.00,4.50,65.4%,Flour + egg + milk + banana + syrup,Fryer,Filling option
Egg & Beans on Toast,Light Meals,8am-11am,9.00,3.20,64.4%,Eggs + beans + toast,Fryer + Press,British style
Classic Cheese Toastie,Grab & Go,Before 9am / All Day,5.90,2.75,53.4%,Schiacciata + cheese slice + packaging,Press,2025 failure standalone
Chicken Ham & Cheese Toastie,Grab & Go,Before 9am / All Day,7.90,3.40,57.0%,Schiacciata + ham + cheese + packaging,Press,Better seller
Tomato & Cheese Toastie,Grab & Go,Before 9am / All Day,6.90,3.10,55.1%,Schiacciata + tomato + cheese + packaging,Press,Veggie
Ultimate Grilled Cheese,Light Meals,8am-11am,11.00,4.00,63.6%,Schiacciata + 3 cheeses + butter,Press,Gourmet
Egg Mayo Sandwich,Grab & Go,Before 9am,6.50,2.80,56.9%,Bread + 2 eggs + mayo,Prep,Cold pre-made
Egg on Toast (2 eggs 2 toast),Grab & Go,Before 9am,7.50,2.87,61.7%,2 eggs + 2 toast + butter,Fryer + Press,Simple protein
Overnight Oats,Grab & Go,Before 9am / All Day,8.50,2.50,70.6%,Oats + milk + yogurt + fruit,Fridge,Healthy trend
Muesli/Granola Bowl,Grab & Go,Before 9am,9.50,3.20,66.3%,Granola + yogurt + honey + nuts,Fridge,Protein breakfast
Butter Croissant,Grab & Go,Before 9am / After 2:30pm,5.00,2.00,60.0%,Pre-made croissant,Ambient,French classic
Chocolate Croissant,Grab & Go,Before 9am / After 2:30pm,6.00,2.50,58.3%,Pre-made pain au chocolat,Ambient,Indulgent
Blueberry Muffin,Grab & Go,Before 9am / After 2:30pm,6.00,2.50,58.3%,Pre-made muffin,Ambient,American classic
Banana Walnut Muffin,Grab & Go,Before 9am / After 2:30pm,6.50,2.80,56.9%,Pre-made muffin,Ambient,Healthy-ish
Breakfast Burrito,Grab & Go,Before 9am,9.50,4.20,55.8%,Wrap + eggs + beans + cheese + salsa,Prep,Portable
Egg & Cheese Wrap,Grab & Go,Before 9am,8.50,3.50,58.8%,Wrap + 2 eggs + cheese,Prep,Clean hands
Smoked Salmon Bagel,Grab & Go,Before 9am / 8am-11am,12.00,4.50,62.5%,Bagel + salmon + cream cheese,Prep,Premium
Peanut Butter Toast,Grab & Go,Before 9am,5.00,2.00,60.0%,Toast + peanut butter,Press,Cheap protein
Avocado Toast,Grab & Go,Before 9am / 8am-11am,9.00,4.50,50.0%,2 toast + avocado + seasoning,Prep,Trendy
Green Eggs & Ham Sandwich,Light Meals,8am-11am,9.50,4.00,57.9%,Bread + eggs + pesto + ham,Prep,Herby fresh
Chicken & Cheese Panini,Light Meals,8am-11am / 11:30am-2:30pm,11.00,4.50,59.1%,Schiacciata + chicken + cheese,Press,Hearty
Turkey & Cheese Wrap,Light Meals,8am-11am,10.50,4.20,60.0%,Wrap + turkey + cheese + veg,Prep,Lean protein
Tuna Melt,Light Meals,8am-11am / 11:30am-2:30pm,10.00,4.00,60.0%,Schiacciata + tuna + cheese,Press,2025 seller
Grilled Veggie & Cheese,Light Meals,8am-11am,9.50,3.80,60.0%,Schiacciata + grilled veg + cheese,Press,Veggie
Bacon & Egg Sandwich,Light Meals,8am-11am,11.00,4.50,59.1%,Bread + bacon + 2 eggs,Prep,Indulgent
Sausage & Egg Muffin,Light Meals,8am-11am,10.00,4.20,58.0%,English muffin + sausage + egg,Prep,McMuffin style
Greek Yogurt Bowl,Light Meals,8am-11am,10.00,3.00,70.0%,Greek yogurt + honey + granola + nuts,Fridge,High margin
Acai Bowl,Light Meals,8am-11am,14.00,5.00,64.3%,Acai + granola + fruit + coconut,Fridge,Superfood trend
Chia Pudding,Light Meals,8am-11am,9.00,2.50,72.2%,Chia seeds + coconut milk + fruit,Fridge,Vegan option
Fruit Cup,Light Meals,8am-11am,7.00,3.00,57.1%,Mixed fresh fruit,Fridge,Light healthy
Protein Box,Light Meals,8am-11am,12.00,4.50,62.5%,Eggs + nuts + cheese + fruit,Prep,Keto friendly
Banana Bread Slice,Grab & Go,After 2:30pm,6.00,2.50,58.3%,Pre-made banana bread,Ambient,2025 seller
Banana Bread + Butter,Grab & Go,After 2:30pm,7.50,3.00,60.0%,Banana bread + butter,Ambient,Indulgent
Lemon Loaf,Grab & Go,After 2:30pm,6.50,2.80,56.9%,Pre-made lemon loaf,Ambient,Zesty
Chocolate Marble Cake,Grab & Go,After 2:30pm,6.00,2.50,58.3%,Pre-made cake,Ambient,Sweet treat
Carrot Walnut Cake,Grab & Go,After 2:30pm,7.00,3.00,57.1%,Pre-made cake,Ambient,Spiced
Apple Crumble Slice,Grab & Go,After 2:30pm,7.00,3.20,54.3%,Pre-made crumble,Ambient,Warm comfort
Bread Pudding,Grab & Go,After 2:30pm,7.00,3.00,57.1%,Bread + custard + raisins,Ambient,Custardy
Burnt Cheesecake Slice,Grab & Go,After 2:30pm,9.00,4.00,55.6%,Pre-made cheesecake,Ambient,Trendy
Tiramisu Cup,Grab & Go,After 2:30pm,10.00,4.50,55.0%,Pre-made tiramisu,Ambient,Italian
Chocolate Lava Cake,Grab & Go,After 2:30pm,11.00,5.00,54.5%,Pre-made lava cake,Air fryer,Warm gooey
Apple Pie Slice,Grab & Go,After 2:30pm,7.50,3.50,53.3%,Pre-made pie,Ambient,American
Egg Tart,Grab & Go,After 2:30pm,4.50,2.00,55.6%,Pre-made egg tart,Ambient,Portuguese
Pandan Kaya Cake,Grab & Go,After 2:30pm,6.00,2.50,58.3%,Pre-made kaya cake,Ambient,Malaysian
Almond Croissant,Grab & Go,After 2:30pm,7.00,3.50,50.0%,Pre-made almond croissant,Ambient,Frangipane
Ham & Cheese Croissant,Grab & Go,After 2:30pm,8.00,4.00,50.0%,Pre-made savory croissant,Ambient,Protein
Danish Pastry,Grab & Go,After 2:30pm,6.50,3.00,53.8%,Pre-made danish,Ambient,Sweet
Cinnamon Roll,Grab & Go,After 2:30pm,7.00,3.20,54.3%,Pre-made cinnamon roll,Ambient,Sticky
Scone Plain,Grab & Go,After 2:30pm,5.00,2.00,60.0%,Pre-made scone,Ambient,British
Scone with Jam & Cream,Grab & Go,After 2:30pm,8.00,3.50,56.3%,Scone + jam + cream,Ambient,Cream tea
Pandan Muffin,Grab & Go,After 2:30pm,5.50,2.30,58.2%,Pre-made pandan muffin,Ambient,Local flavor
Chicken Rice Box,Lunch Boxes,11:30am-2:30pm,12.00,4.50,62.5%,Rice + chicken + cucumber + sauce,Prep,Local favorite
Nasi Goreng Box,Lunch Boxes,11:30am-2:30pm,12.00,4.80,60.0%,Fried rice + egg + chicken + veg,Prep,2025 failure
Mee Goreng Box,Lunch Boxes,11:30am-2:30pm,12.00,4.50,62.5%,Noodles + veg + protein,Prep,Noodle option
Teriyaki Chicken Rice,Lunch Boxes,11:30am-2:30pm,14.00,5.50,60.7%,Rice + teriyaki chicken + veg,Prep,Japanese
Grilled Chicken Salad Box,Lunch Boxes,11:30am-2:30pm,13.00,5.00,61.5%,Greens + grilled chicken + dressing,Prep,Healthy
Buddha Bowl,Lunch Boxes,11:30am-2:30pm,15.00,6.00,60.0%,Quinoa + roasted veg + protein + tahini,Prep,Superfood
Sandwich Box (2 halves + chips),Lunch Boxes,11:30am-2:30pm,11.00,4.50,59.1%,Sandwich + chips,Prep,Classic lunch
Wrap Box (wrap + salad),Lunch Boxes,11:30am-2:30pm,12.00,5.00,58.3%,Wrap + side salad,Prep,Light lunch
Bento Box,Lunch Boxes,11:30am-2:30pm,16.00,6.50,59.4%,Rice + protein + 2 sides + pickle,Prep,Japanese complete
Protein Box (no carbs),Lunch Boxes,11:30am-2:30pm,14.00,6.00,57.1%,Chicken + eggs + nuts + veg,Prep,Keto/paleo
Curry Box,Lunch Boxes,11:30am-2:30pm,13.00,5.00,61.5%,Rice + curry (chicken/veg),Prep,Spicy option
Sushi Roll Box,Lunch Boxes,11:30am-2:30pm,15.00,7.00,53.3%,8 sushi rolls + soy + wasabi,Prep,If supplier available
Grilled Chicken Sandwich,Lunch Hot,11:30am-2:30pm,12.00,5.00,58.3%,Schiacciata + grilled chicken + veg,Press,Hot sandwich
Chicken Parm Toastie,Lunch Hot,11:30am-2:30pm,13.00,5.50,57.7%,Schiacciata + chicken + marinara + cheese,Press,Italian style
BBQ Chicken Wrap,Lunch Hot,11:30am-2:30pm,12.50,5.20,58.4%,Wrap + BBQ chicken + slaw,Prep,American
Chicken Caesar Wrap,Lunch Hot,11:30am-2:30pm,13.00,5.50,57.7%,Wrap + chicken + caesar dressing + romaine,Prep,Classic
Caprese Panini,Lunch Hot,11:30am-2:30pm,11.00,4.50,59.1%,Schiacciata + tomato + mozzarella + basil,Press,Vegetarian
Roast Beef & Cheese,Lunch Hot,11:30am-2:30pm,14.00,6.00,57.1%,Schiacciata + roast beef + cheese,Press,Premium
Reuben Sandwich,Lunch Hot,11:30am-2:30pm,15.00,6.50,56.7%,Schiacciata + corned beef + sauerkraut + Swiss,Press,NYC deli
Falafel Wrap,Lunch Hot,11:30am-2:30pm,11.00,4.50,59.1%,Wrap + falafel + hummus + veg,Prep,Vegan
Halloumi & Veggie Wrap,Lunch Hot,11:30am-2:30pm,12.00,5.00,58.3%,Wrap + halloumi + grilled veg,Prep,Vegetarian
Quesadilla (Cheese),Lunch Hot,11:30am-2:30pm,11.00,4.50,59.1%,Tortilla + cheese + salsa,Press,Mexican
Quesadilla (Chicken),Lunch Hot,11:30am-2:30pm,13.00,5.50,57.7%,Tortilla + chicken + cheese + salsa,Press,Protein
Burrito (Veggie),Lunch Hot,11:30am-2:30pm,11.00,5.00,54.5%,Tortilla + rice + beans + veg,Prep,Vegan
Burrito (Chicken),Lunch Hot,11:30am-2:30pm,13.00,6.00,53.8%,Tortilla + rice + chicken + beans,Prep,Filling
